425, количество городов (предел 1500);
Gorod;tн1;tн2;tн3;n
Мелеуз (р. Башкортостан);-35;-15.5;-6.4;210 
Уфа (р. Башкортостан);-35;-14.9;-5.9;213 
Янаул (р. Башкортостан);-37;-15.5;-6;226 
Белгород (Белгородская обл.);-23;-8.5;-1.9;191 
Брянск (Брянская обл.);-26;-9.1;-2.3;205 
Бабушкин (р. Бурятия);-28;-16.4;-5.6;254 
Баргузин (р. Бурятия);-42;-27.4;-11.5;241 
Багдарин (р. Бурятия);-42;-29.4;-13;267 
Кяхта (р. Бурятия);-35;-21.9;-9;232 
Монды (р. Бурятия);-33;-19.9;-8.1;266 
Нижнеангарск (р. Бурятия);-33;-22.6;-9.6;258 
Сосново-Озерское (р. Бурятия);-38;-24.7;-10.6;261 
Уакит (р. Бурятия);-40;-28.3;-12.7;274 
Улан-Удэ (р. Бурятия);-37;-24.8;-10.4;237 
Хоринск (р. Бурятия);-39;-25.6;-10.8;241 
Владимир (Владимирская обл.);-28;-11.1;-3.5;213 
Муром (Владимирская обл.);-30;-11.5;-4;214 
Волгоград (Волгоградская обл.);-25;-9.1;-2.2;178 
Котельниково (Волгоградская обл.);-24;-7.4;-1.6;176 
Эльтон (Волгоградская обл.);-26;-10.2;-3.6;181 
Вологда (Вологодская обл.);-32;-12.6;-4.1;231 
Вытегра (Вологодская обл.);-32;-10.9;-3.4;235 
Никольск (Вологодская обл.);-34;-13.8;-4.9;236 
Тотьма (Вологодская обл.);-32;-13.1;-4.5;235 
Воронеж (Воронежская обл.);-26;-9.8;-3.1;196 
Дербент (р. Дагестан);-9;1.5;3.7;138 
Махачкала (р. Дагестан);-14;-0.5;2.7;148 
Иваново (Ивановская обл.);-30;-11.9;-3.9;219 
Кинешма (Ивановская обл.);-31;-11.7;-4.1;221 
Алыгджер (Иркутская обл.);-36;-16.7;-6.4;264 
Бодайбо (Иркутская обл.);-47;-30.8;-13.9;254 
Братск (Иркутская обл.);-43;-20.7;-8.6;249 
Верхняя Гутара (Иркутская обл.);-37;-19.8;-7.7;273 
Дубровское (Иркутская обл.);-50;-28.6;-12.3;257 
Ербогачен (Иркутская обл.);-51;-31.0;-14.8;264 
Жигалово (Иркутская обл.);-47;-28.4;-13.3;252 
Зима (Иркутская обл.);-42;-23.0;-9.7;239 
Ика (Иркутская обл.);-50;-29.4;-13;262 
Илимск (Иркутская обл.);-45;-25.4;-11;255 
Иркутск (Иркутская обл.);-36;-20.6;-8.5;240 
Ичера (Иркутская обл.);-50;-28.2;-12.9;254 
Киренск (Иркутская обл.);-49;-27.4;-12.3;251 
Мама (Иркутская обл.);-46;-28.9;-12.6;255 
